species,LA,SLA,LDMCsimple,PL,LT,F2P,sFtP,Ft,QY,Chlorophyll,WD,LD,SV,P,N
Aegiphila monstrosa,0.027190687,14.09289807,0.236658092,5.776,0.222,0.163711165,0.790596866,179.9,0.75117,37.51,0.41,0.348297753,NA,1.531,35.136
Alchornea latifolia,0.014848695,9.861472317,0.424653014,6.6495,0.228,0.414004128,1.84337821,187.2,0.712595,43.275,0.37,0.528373386,22.4492975,1.751,29.21
Alibertia edulis,0.004345956,9.440660701,0.469776215,1.0565,0.214,0.261229987,1.227564417,199.1,0.72997,52.33611111,0.67,0.612613765,NA,0.535,26.285
Ampelocera hottlei,0.012229399,11.84872221,0.425156972,1.027,0.196,0.497550732,2.583650152,276.25,0.704815,57.55,0.83,0.474785199,755.9457323,1.253,18.111
Amphitecna apiculata,0.019122877,8.836394642,0.352006684,0.391,0.446,0.660185389,1.888455412,253,0.698675,68.735,0.42,0.332811776,NA,0.913,21.474
Aragebortia sp,0.012148675,13.7729483,0.469282657,1.476,0.155,0.300847008,1.957672602,263,0.750705,51.73,0.712143958,0.467258213,NA,1.047,19.757
Astronium graveolens,0.02469513,23.75578494,0.479574194,6.9865,0.082,0.152323277,1.887482621,240.6,0.723795,42.675,0.767018467,0.738864807,48.68178053,1.977,28.809
Bellucia axinanthera,0.037715867,7.132437467,0.415406574,3.5635,0.269,0.278552409,1.039124231,245.85,0.67705,38.855,0.584062412,0.543168655,0.040410778,3.268,12.46
Blepharidium mexicanum,0.021721381,19.37152589,0.231354523,3.2525,0.1875,0.082521815,0.464666788,NA,NA,41.09583333,0.58,0.291305403,1.87,2.259,23.964
Brosimum alicastrum,0.005686187,18.00794155,0.467697057,0.9245,0.124,0.334048318,2.803401899,283.6,0.715835,58.74,0.44,0.49298877,791.9431481,2.227,18.222
Brosimum costaricanum,0.010460717,19.78932698,0.405707219,0.963,0.091,0.365324913,4.205549553,304.1,0.656885,44.885,0.705987692,0.549785809,NA,1.615,22.175
Brosimum guianensis,0.003097613,15.93684506,0.43443243,0.7905,0.127,0.228590053,2.04357293,258.45,0.69813,60.075,0.874485432,0.54749768,129.1856362,1.562,23.27
Bursera simaruba,0.031116178,25.0537345,0.254867116,9.0725,0.195,0.248558956,1.296954814,179.05,0.739266,53.798125,0.24,0.494902673,167.0280094,1.812,29.925
Calophyllum brasiliense,0.006530995,14.15928713,0.388931955,1.6575,0.174,0.460580192,2.707506202,250.85,0.743105,57.85,0.58,0.428348736,2803.871443,1.193,11.794
Carica papaya,0.17773039,17.36161084,0.242763764,57.275,0.152,0.185524586,1.321088297,155.15,0.778355,43.97,0.110676938,0.447561406,NA,7.095,36.214
Casearia sylvestris,0.002415302,10.05531738,0.484740707,0.4645,0.2,0.242063048,1.303215075,213.4,0.68171,51.01,0.59,0.736169471,1.49225651,1.795,34.464
Cecropia peltata,0.250633374,14.10950734,0.381297923,46.555,0.164,0.256662353,1.687218969,174.15,0.755105,45.73214286,0.29861211,0.46905522,0.38,2.213,32.781
